mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,step_id,workunit_id,class
5,3,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,3.342245989,2.005347594,4.679144385,0.668449198,0.668449198,0.668449198,0,0,1.336898396,1.336898396,0,0,0,0,0,0,0,0,1.496,0,0,1,0,0,0,2966e789-98c0-418e-bf2c-d4d2e128c451#97b81748-42d8-4831-aa83-fbf11206dce8#189ab8891,1470,Amounts - 7/11,Reliable
12,7,10,2,2,2,0,0,2,2,0,0,0,0,0,0,2,0,2.380007933,1.388337961,1.983339944,0.396667989,0.396667989,0.396667989,0,0,0.396667989,0.396667989,0,0,0,0,0,0,0.396667989,0,5.042,0,0,1,0,0,0,2966e789-98c0-418e-bf2c-d4d2e128c451#97b81748-42d8-4831-aa83-fbf11206dce8#189ab8891,1470,Amounts - 8/11,Reliable
11,5,7,1,1,1,0,0,2,2,0,0,0,0,0,0,2,0,2.682272616,1.219214826,1.706900756,0.243842965,0.243842965,0.243842965,0,0,0.48768593,0.48768593,0,0,0,0,0,0,0.48768593,0,4.101,0,0,1,0,0,0,2966e789-98c0-418e-bf2c-d4d2e128c451#97b81748-42d8-4831-aa83-fbf11206dce8#189ab8891,1470,Amounts - 9/11,Reliable
61,7,10,1,1,1,0,0,4,3,0,0,0,0,3,6,7,0,9.203379602,1.056125528,1.508750754,0.150875075,0.150875075,0.150875075,0,0,0.603500302,0.452625226,0,0,0,0,0.452625226,0.905250453,1.056125528,0,6.628,0,0,1,0,0,0,f2c5c359-42d3-4968-a269-10c12ddb016c#d44e9204-30bb-4666-a604-8e3c98f05afb#189ab8891,1470,Amounts - 1/11,Reliable
11,5,7,1,1,1,0,0,2,2,0,0,0,0,0,0,2,0,3.262158956,1.482799526,2.075919336,0.296559905,0.296559905,0.296559905,0,0,0.59311981,0.59311981,0,0,0,0,0,0,0.59311981,0,3.372,0,0,1,0,0,0,f2c5c359-42d3-4968-a269-10c12ddb016c#d44e9204-30bb-4666-a604-8e3c98f05afb#189ab8891,1470,Amounts - 10/11,Reliable
11,3,11,2,2,3,0,0,2,2,0,0,0,0,0,0,2,0,3.434280362,0.936621917,3.434280362,0.624414611,0.624414611,0.936621917,0,0,0.624414611,0.624414611,0,0,0,0,0,0,0.624414611,0,3.203,0,0,1,0,0,0,f2c5c359-42d3-4968-a269-10c12ddb016c#d44e9204-30bb-4666-a604-8e3c98f05afb#189ab8891,1470,Amounts - 11/11,Reliable
11,4,9,1,1,1,0,0,3,3,0,0,0,0,0,0,2,0,2.934898613,1.067235859,2.401280683,0.266808965,0.266808965,0.266808965,0,0,0.800426894,0.800426894,0,0,0,0,0,0,0.53361793,0,3.748,0,0,1,0,0,0,f2c5c359-42d3-4968-a269-10c12ddb016c#d44e9204-30bb-4666-a604-8e3c98f05afb#189ab8891,1470,Amounts - 2/11,Reliable
24,8,7,1,1,1,0,0,2,2,0,0,0,0,0,0,6,0,2.359649985,0.786549995,0.688231246,0.098318749,0.098318749,0.098318749,0,0,0.196637499,0.196637499,0,0,0,0,0,0,0.589912496,0,10.171,0,0,1,0,0,0,f2c5c359-42d3-4968-a269-10c12ddb016c#d44e9204-30bb-4666-a604-8e3c98f05afb#189ab8891,1470,Amounts - 3/11,Reliable
16,10,7,1,1,1,0,0,2,2,0,0,0,0,0,0,2,0,1.735357918,1.084598698,0.759219089,0.10845987,0.10845987,0.10845987,0,0,0.21691974,0.21691974,0,0,0,0,0,0,0.21691974,0,9.22,0,0,1,0,0,0,f2c5c359-42d3-4968-a269-10c12ddb016c#d44e9204-30bb-4666-a604-8e3c98f05afb#189ab8891,1470,Amounts - 4/11,Reliable
11,5,7,1,1,1,0,0,2,2,0,0,0,0,0,0,2,0,2.704696336,1.229407426,1.721170396,0.245881485,0.245881485,0.245881485,0,0,0.49176297,0.49176297,0,0,0,0,0,0,0.49176297,0,4.067,0,0,1,0,0,0,f2c5c359-42d3-4968-a269-10c12ddb016c#d44e9204-30bb-4666-a604-8e3c98f05afb#189ab8891,1470,Amounts - 5/11,Reliable
