mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,step_id,workunit_id,class
14,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,8.934269304,0,2.552648373,0,0,0,0,0,1.276324186,1.276324186,0,0,0,0,0,0,2.552648373,0,1.567,0,0,1,0,0,0,7da4a117-8524-47fd-bda8-b11ff635cc09#0bfb8526-7396-497e-839f-e6e57ad2216d#1d83d2cfd,1470,Amounts - 8/11,Reliable
14,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,9.465855308,0,2.704530088,0,0,0,0,0,1.352265044,1.352265044,0,0,0,0,0,0,2.704530088,0,1.479,0,0,1,0,0,0,7da4a117-8524-47fd-bda8-b11ff635cc09#0bfb8526-7396-497e-839f-e6e57ad2216d#1d83d2cfd,1470,Amounts - 9/11,Reliable
7,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2.720559658,0,1.554605519,0,0,0,0,0,0.777302759,0.777302759,0,0,0,0,0,0,0,0,2.573,0,0,1,0,0,0,7f5d056e-ce9c-4c86-b8f7-e4bbab5b68e3#91d193d6-336d-49e8-8bf2-9761a141cfd4#10e0a4ad9,1470,Amounts - 6/11,Reliable
7,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3.158844765,0,1.805054152,0,0,0,0,0,0.902527076,0.902527076,0,0,0,0,0,0,0,0,2.216,0,0,1,0,0,0,7f5d056e-ce9c-4c86-b8f7-e4bbab5b68e3#91d193d6-336d-49e8-8bf2-9761a141cfd4#10e0a4ad9,1470,Amounts - 8/11,Reliable
5,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3.673769287,0,2.93901543,0,0,0,0,0,1.469507715,1.469507715,0,0,0,0,0,0,0,0,1.361,0,0,1,0,0,0,7f5d056e-ce9c-4c86-b8f7-e4bbab5b68e3#91d193d6-336d-49e8-8bf2-9761a141cfd4#10e0a4ad9,1470,Amounts - 9/11,Reliable
62,0,21,1,1,1,0,0,9,9,0,0,0,0,0,0,32,0,15.399900646,0,5.21609538,0.248385494,0.248385494,0.248385494,0,0,2.235469449,2.235469449,0,0,0,0,0,0,7.948335817,0,4.026,0,0,0,1,0,0,818c8cdb-838c-4a5f-8c21-418c1f374f7c#2d3c240b-11d2-4b88-a3cf-d00caed1971b#1d120686d,1470,Dates - 4/5,Reliable
26,2,10,1,1,2,0,0,3,3,0,0,0,0,2,0,9,0,10.492332526,0.807102502,4.03551251,0.403551251,0.403551251,0.807102502,0,0,1.210653753,1.210653753,0,0,0,0,0.807102502,0,3.631961259,0,2.478,0,0,0,1,0,0,818c8cdb-838c-4a5f-8c21-418c1f374f7c#2d3c240b-11d2-4b88-a3cf-d00caed1971b#1d120686d,1470,Dates - 5/5,Reliable
33,0,13,1,1,1,0,0,5,5,0,0,0,0,0,0,13,0,12.895662368,0,5.080109418,0.390777648,0.390777648,0.390777648,0,0,1.953888238,1.953888238,0,0,0,0,0,0,5.080109418,0,2.559,0,0,0,1,0,0,83231b31-c410-4e49-b639-7d1ce0bdc76f#25479924-39ed-43c2-9f61-613ce4c440ed#1d120686d,1470,Dates - 4/5,Reliable
14,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,6.927263731,0,1.979218209,0,0,0,0,0,0.989609104,0.989609104,0,0,0,0,0,0,1.979218209,0,2.021,0,0,1,0,0,0,9028466f-ef93-4614-9b4b-966145e41505#e0811fa0-f4df-4b82-8813-0f80aadc08fa#11b6f5618,1470,Amounts - 10/11,Reliable
20,7,8,1,1,2,0,0,2,2,0,0,0,0,0,0,4,0,2.612330199,0.914315569,1.044932079,0.13061651,0.13061651,0.26123302,0,0,0.26123302,0.26123302,0,0,0,0,0,0,0.52246604,0,7.656,0,0,1,0,0,0,9028466f-ef93-4614-9b4b-966145e41505#e0811fa0-f4df-4b82-8813-0f80aadc08fa#11b6f5618,1470,Amounts - 11/11,Reliable
